uID,rec1,rec2,rec3,rec4,rec5,rec6,rec7,rec8,rec9,rec10,rec11,rec12,rec13,rec14,rec15,rec16,rec17,rec18,rec19,rec20,rec21,rec22,rec23,rec24,rec25,rec26,rec27,rec28,rec29,rec30,rec31,rec32,rec33,rec34,rec35,rec36,rec37,rec38,rec39,rec40,rec41,rec42,rec43,rec44,rec45,rec46,rec47,rec48,rec49,rec50,rec51,rec52,rec53,rec54,rec55,rec56,rec57,rec58,rec59,rec60,rec61,rec62,rec63,rec64,rec65,rec66,rec67,rec68,rec69,rec70,rec71,rec72,rec73,rec74,rec75,rec76,rec77,rec78,rec79,rec80,rec81,rec82,rec83,rec84,rec85,rec86,rec87,rec88,rec89,rec90,rec91,rec92,rec93,rec94,rec95,rec96,rec97,rec98,rec99,rec100
32,b,a,a,b,c,a,b,a,b,a,c,a,b,c,c,a,a,c,b,c,b,c,a,c,c,c,a,b,a,c,c,b,c,c,c,c,b,c,a,b,b,c,c,b,a,b,c,b,b,b,a,c,a,c,b,a,c,a,c,b,a,b,b,a,c,c,c,c,a,c,b,a,c,a,c,a,b,c,b,c,b,a,a,c,b,b,c,a,c,b,c,a,c,c,c,b,c,b,c,a
34,a,b,c,a,b,a,c,b,c,b,b,c,a,b,a,c,c,c,b,b,b,c,c,c,c,a,c,a,c,c,a,a,a,c,c,c,b,c,a,a,c,c,c,a,b,b,a,b,a,a,b,b,b,c,a,a,a,c,a,c,b,c,a,a,c,c,a,a,c,b,a,c,a,b,a,b,c,a,b,c,c,b,c,c,c,b,b,a,a,c,b,a,a,b,c,c,c,c,c,a
38,c,c,a,a,c,a,b,a,c,a,c,c,b,c,b,a,b,b,c,c,a,b,c,b,b,a,c,a,c,a,b,a,b,c,c,b,c,c,c,c,c,a,a,b,c,c,b,a,b,a,c,a,b,b,a,c,a,a,c,b,b,a,a,c,b,c,a,b,b,b,c,b,a,a,b,a,c,b,b,a,c,c,b,c,b,c,b,c,b,c,c,b,c,a,b,c,c,c,c,c
43,c,c,c,a,c,b,b,c,c,c,c,b,c,b,c,a,c,b,c,c,c,c,b,b,a,b,c,b,b,c,a,c,a,b,c,c,a,a,a,c,c,c,a,c,c,c,c,b,a,b,b,c,a,a,b,c,c,c,a,c,c,c,b,c,c,a,a,a,b,c,c,b,a,b,b,a,c,a,b,c,c,b,c,c,b,a,c,c,c,c,b,c,c,a,b,c,a,c,a,c
44,c,a,c,a,b,c,c,c,c,c,b,c,c,c,b,b,a,b,c,a,b,b,a,a,c,c,a,c,b,a,a,a,a,c,c,a,a,b,c,c,b,c,b,a,a,b,c,c,c,c,c,c,b,c,a,c,b,c,b,c,c,a,b,c,c,a,a,c,c,c,c,c,b,c,c,a,a,c,a,a,b,c,c,b,b,c,a,a,b,c,b,c,b,a,c,c,a,c,a,b
49,a,b,c,c,c,c,c,b,c,c,a,c,b,c,c,c,c,c,c,c,c,b,b,c,c,c,a,c,c,c,a,c,c,c,c,b,b,c,a,c,c,c,c,b,b,b,b,b,a,c,c,b,b,b,c,c,c,a,c,c,a,b,a,c,c,b,c,c,c,a,a,b,a,c,c,b,b,b,c,b,c,c,c,a,c,a,c,c,c,b,c,b,a,c,a,c,c,b,c,a
50,a,a,a,a,b,a,a,a,c,a,c,b,b,b,c,c,c,c,b,b,c,c,c,c,a,c,b,a,c,b,b,b,c,b,b,b,c,a,c,c,c,a,a,a,a,c,b,b,a,a,c,a,c,a,c,a,c,c,c,a,a,c,a,a,c,b,c,a,a,c,b,b,a,c,c,c,c,b,b,c,a,c,c,c,c,a,a,b,c,a,c,b,c,a,c,b,c,c,c,a
53,c,c,a,c,b,c,c,b,c,a,c,c,c,a,c,c,c,b,b,a,b,c,a,c,b,a,c,a,a,a,c,a,c,a,c,b,b,c,c,a,a,c,c,b,b,c,a,a,b,a,a,c,c,c,b,c,b,c,c,b,c,c,a,b,c,a,b,a,c,a,c,c,b,a,c,c,c,c,c,a,c,b,b,b,b,a,c,c,c,c,b,b,c,a,c,c,c,a,a,a
56,c,a,a,a,b,a,a,b,c,b,a,c,a,b,c,a,c,b,a,c,b,b,c,b,b,c,a,a,c,c,a,a,c,a,b,a,a,c,c,c,a,c,a,b,c,c,b,a,c,c,b,c,c,a,c,a,c,a,b,b,b,a,c,a,c,c,a,b,c,b,a,c,c,c,c,a,a,b,c,b,b,c,a,c,b,c,c,a,c,c,b,a,b,c,a,c,c,c,b,b
58,c,c,a,a,c,c,c,b,a,c,c,c,c,c,a,c,a,c,b,c,a,c,a,b,c,c,c,c,c,c,b,a,c,c,b,c,a,c,c,a,c,a,c,c,a,b,a,b,c,a,c,c,b,b,a,c,c,a,b,b,a,c,a,b,c,c,c,c,c,c,a,c,b,c,c,c,c,c,a,c,c,c,a,c,c,c,c,c,c,a,c,c,c,c,c,c,c,c,a,c
61,c,a,b,a,b,c,c,c,c,a,a,a,a,b,c,b,c,c,c,a,c,b,c,c,b,b,c,c,c,a,c,a,c,a,b,c,c,a,c,a,c,b,b,a,c,c,a,c,c,c,a,c,c,b,b,b,c,c,b,a,b,c,c,c,c,a,c,b,a,b,c,a,a,a,b,b,c,a,c,c,c,b,c,a,a,b,c,c,a,a,a,c,b,c,b,b,a,c,a,b
63,b,c,b,b,a,c,c,a,c,a,c,b,c,c,a,c,a,b,b,c,b,c,a,c,c,a,b,c,c,b,c,b,b,b,a,b,a,b,c,c,a,b,b,a,c,b,c,b,c,c,b,b,c,b,b,b,c,c,a,b,b,b,a,c,a,b,c,b,c,c,b,a,c,c,c,c,a,a,b,a,a,b,b,c,a,c,a,a,a,a,c,c,c,a,c,a,b,c,b,c
70,a,c,b,b,c,c,c,c,c,b,c,c,a,b,b,c,b,b,c,b,c,c,b,c,c,c,a,b,c,c,c,a,a,b,a,c,c,c,a,a,a,c,c,b,c,b,a,b,c,c,a,a,c,a,a,c,c,a,b,b,c,b,c,c,c,b,c,c,a,a,c,c,c,c,c,b,a,a,c,c,a,b,c,c,b,b,b,a,a,b,a,c,b,c,c,c,a,a,c,a
72,c,a,c,b,c,c,b,c,b,b,a,b,c,c,c,a,a,c,c,c,b,c,a,c,c,c,b,a,c,a,c,b,a,b,c,c,a,c,c,c,b,a,b,c,c,c,c,c,b,c,a,b,a,a,c,b,a,a,b,b,a,a,c,b,a,b,c,c,b,c,a,c,c,c,c,c,c,c,b,c,c,b,b,c,c,a,c,c,c,a,b,c,a,a,a,b,c,c,b,a
74,a,c,a,a,a,c,a,c,c,b,c,c,c,a,a,a,c,c,b,b,b,a,c,a,b,a,c,a,a,b,c,a,a,b,a,a,c,c,c,b,a,c,b,a,b,b,a,a,b,a,c,c,c,a,b,a,b,a,c,c,b,c,c,c,c,b,a,c,c,c,c,b,a,a,c,c,b,a,b,b,a,c,b,a,c,c,c,c,c,b,c,a,a,b,a,c,a,c,c,b
76,c,c,a,c,c,c,c,c,c,c,c,c,c,a,c,a,a,c,a,c,c,c,a,c,c,c,c,c,c,a,c,c,c,c,c,a,a,c,c,c,c,c,c,c,b,a,b,c,b,c,c,a,a,a,a,a,c,c,c,a,c,c,c,c,b,a,c,a,a,c,c,c,b,c,b,b,c,c,b,c,c,c,a,b,c,c,a,a,c,a,c,a,a,c,c,b,c,c,c,a
78,c,c,c,c,a,c,c,b,a,a,a,b,c,c,c,c,c,c,b,c,c,c,a,c,b,b,c,b,a,b,c,c,b,a,c,c,a,c,b,c,c,b,c,b,c,b,c,c,c,a,a,a,a,b,b,c,a,c,c,c,b,b,c,c,a,b,a,c,b,c,a,a,c,c,c,c,b,b,b,c,c,b,c,a,b,b,c,a,c,c,c,b,a,c,c,c,a,c,c,a
82,c,c,c,b,b,c,a,c,b,c,a,b,c,a,c,c,c,b,a,c,b,c,c,b,c,c,c,a,b,b,b,c,c,b,c,a,c,a,a,a,c,a,c,a,c,a,c,a,a,c,a,b,b,c,a,b,c,c,c,c,c,c,c,a,b,c,a,c,a,a,c,a,b,c,c,c,a,c,b,b,c,c,c,a,a,c,c,b,a,a,b,a,a,c,c,b,b,a,c,c
86,c,c,c,a,c,c,a,b,c,c,b,c,a,c,c,c,a,c,b,a,b,b,b,a,c,c,c,b,c,a,a,c,c,c,a,c,b,a,a,c,a,c,c,a,c,a,a,a,a,a,b,b,c,c,a,c,b,c,b,c,c,c,a,c,b,c,c,c,a,c,a,a,a,a,b,c,c,a,c,c,a,c,c,c,a,c,c,a,a,c,a,c,b,c,b,c,c,c,c,b
89,c,a,c,c,b,b,a,a,a,c,c,c,c,c,a,c,a,c,a,b,c,c,c,c,c,c,c,c,b,a,c,c,c,b,b,c,b,c,c,c,c,a,a,a,b,b,b,c,a,b,a,c,a,b,a,c,c,c,b,b,a,c,c,b,c,b,c,c,c,c,a,c,b,c,c,c,a,b,c,c,a,c,c,b,c,a,c,c,b,c,c,a,c,c,a,a,a,b,b,b
94,b,c,a,c,c,c,b,c,a,a,c,a,b,c,b,c,c,a,c,b,b,c,c,c,c,b,a,b,b,a,b,c,b,c,c,c,a,c,a,c,b,a,c,a,c,b,b,b,a,c,a,c,b,c,b,a,c,c,a,a,a,c,b,a,a,b,a,a,a,a,c,a,b,c,c,c,c,a,c,a,c,a,a,b,a,c,c,b,c,a,b,b,c,a,c,a,a,c,a,a
96,c,c,c,c,a,c,b,b,b,b,b,a,c,c,c,c,c,a,a,a,c,c,a,c,a,c,c,c,b,c,c,c,c,c,a,c,c,b,c,b,a,a,a,a,b,b,a,a,b,b,b,c,c,c,c,c,c,c,b,c,b,a,c,b,c,a,c,a,a,c,c,c,a,b,c,c,c,a,a,c,a,b,c,c,b,a,c,c,c,c,c,b,a,c,c,a,a,c,c,a
98,c,c,a,b,a,a,b,c,c,c,b,c,c,a,a,a,c,b,c,b,c,c,c,c,a,c,c,c,b,c,c,b,b,c,c,c,c,c,c,a,c,a,a,a,c,c,c,b,c,b,a,c,b,c,c,a,b,c,b,a,a,b,c,a,c,a,c,b,c,c,b,c,c,a,a,a,c,c,c,c,c,c,a,a,b,b,c,c,c,b,a,a,b,c,a,c,c,b,a,a
106,c,b,c,c,a,c,c,b,a,a,c,a,b,c,b,c,c,b,b,c,b,a,c,c,c,b,b,c,c,a,a,c,c,c,b,c,c,b,b,b,a,a,c,b,b,c,a,c,c,b,c,c,a,b,c,a,a,c,a,a,a,a,b,b,b,a,a,c,c,c,c,c,c,b,c,c,a,c,c,c,a,a,b,b,a,c,b,a,a,c,a,b,c,a,a,b,b,a,a,c
109,c,a,a,a,c,c,c,a,c,a,c,b,b,a,c,c,c,a,c,a,c,c,c,a,a,c,c,c,c,b,c,c,c,b,b,a,a,c,c,a,a,b,c,a,c,c,c,a,c,b,a,c,c,c,a,c,c,a,a,c,c,b,c,c,c,a,a,a,c,b,b,b,c,a,a,a,a,c,a,a,c,a,a,c,a,a,c,a,b,c,c,c,c,c,b,b,a,b,c,a
115,a,c,a,a,c,b,b,c,c,b,a,a,b,a,c,b,a,c,a,a,a,a,b,c,c,a,c,a,b,c,a,c,c,c,c,a,c,a,c,b,b,c,c,a,c,c,c,a,b,a,c,c,b,b,a,c,c,a,b,b,b,a,b,c,b,a,c,c,c,a,b,c,c,c,a,a,c,c,a,a,a,c,a,a,b,b,c,b,a,b,c,b,c,c,c,c,c,b,a,c
118,c,c,b,c,b,a,c,a,c,a,b,c,c,b,c,c,c,c,a,c,b,a,c,c,c,c,a,c,a,c,c,a,c,c,c,c,a,c,c,a,c,a,c,b,c,c,b,c,c,a,c,b,b,a,a,b,a,b,a,b,c,a,b,a,a,c,c,c,c,c,c,c,c,b,c,c,c,c,c,c,c,a,a,c,b,a,a,a,c,c,c,c,c,c,c,c,c,c,b,a
121,b,b,c,a,c,a,a,a,b,c,c,a,b,a,c,c,c,c,c,c,b,a,a,b,c,b,b,c,c,b,b,c,c,c,c,c,c,b,c,a,c,c,c,c,c,a,c,a,b,b,c,a,c,a,c,a,b,c,c,a,b,c,c,b,c,c,b,a,c,c,c,a,b,c,c,c,b,c,a,c,c,c,c,b,b,a,a,a,c,b,c,c,b,a,b,c,b,b,a,c
123,b,c,c,c,c,a,c,a,a,c,b,b,a,b,a,a,b,c,c,b,c,a,c,c,a,a,c,b,c,c,a,c,b,c,c,c,a,c,b,c,a,c,c,c,a,b,c,c,c,c,b,c,a,a,a,a,c,b,c,c,c,c,a,a,c,b,c,a,c,c,b,c,c,c,c,c,c,a,c,c,c,c,c,c,a,c,c,c,c,c,c,a,c,b,c,c,a,c,c,a
130,a,c,c,a,c,c,b,c,c,c,c,c,c,c,c,c,c,c,b,c,c,c,c,c,c,b,c,b,c,a,c,c,c,c,b,a,a,c,c,b,b,c,c,b,a,b,a,c,c,a,b,a,a,b,b,b,c,c,a,c,c,c,c,b,c,a,a,a,b,b,a,b,c,c,b,c,c,b,a,c,c,c,c,b,c,c,c,c,a,c,a,c,b,a,c,c,a,b,a,a
132,a,c,c,b,c,a,a,b,a,c,c,c,a,c,c,c,c,a,c,c,b,c,c,c,b,c,c,c,c,a,b,c,a,c,c,c,a,c,c,a,c,a,c,c,b,c,a,c,a,c,a,c,b,a,b,b,c,b,c,c,c,c,c,c,a,b,c,c,c,a,c,b,b,a,c,c,c,c,c,c,c,c,b,a,c,c,a,a,c,c,c,b,c,c,b,c,b,c,c,c
135,c,b,a,c,c,c,c,b,b,c,c,a,c,c,c,b,c,c,c,a,c,c,c,b,a,c,c,c,a,b,c,c,c,a,c,b,b,c,c,c,c,c,c,c,a,c,c,a,c,b,c,a,c,c,c,a,a,c,b,c,c,c,c,a,c,c,a,c,c,c,c,c,a,c,c,a,b,a,c,a,b,b,a,c,c,c,b,c,c,c,c,c,c,c,a,a,c,c,b,c
139,c,a,c,c,a,c,a,c,b,c,b,b,c,a,c,c,b,a,b,a,b,b,a,c,b,c,c,c,c,b,c,c,c,c,c,c,b,c,c,a,b,a,c,a,b,c,a,c,a,c,a,c,c,c,b,a,c,a,c,c,a,b,b,c,c,c,c,c,c,c,b,a,a,c,a,a,c,a,c,c,c,a,b,c,b,c,c,b,c,a,a,c,a,c,a,c,b,b,b,a
153,c,a,a,c,c,b,b,c,b,c,c,c,c,a,c,c,b,a,b,c,c,c,a,b,b,c,c,c,b,c,a,c,a,c,c,a,c,c,a,c,a,c,a,b,c,c,c,b,a,c,a,b,c,c,c,c,b,a,a,c,c,c,b,c,c,c,c,b,c,c,b,a,a,c,b,b,c,b,c,c,a,b,c,a,c,c,c,a,c,c,c,c,c,c,a,c,c,c,b,c
158,b,a,c,a,a,a,a,c,c,c,c,c,c,c,c,c,a,b,c,b,a,c,a,b,a,c,c,c,c,c,b,a,a,c,b,b,c,b,b,b,c,c,a,a,c,c,c,b,a,c,a,a,b,c,c,a,c,c,a,a,b,a,c,a,a,a,c,c,c,a,b,c,b,c,c,b,c,c,b,a,c,c,b,b,c,b,c,a,a,a,a,b,a,a,b,a,c,a,a,c
166,c,c,c,b,c,a,b,b,a,b,b,c,a,c,c,b,b,c,a,c,b,c,c,b,a,b,b,c,c,a,c,a,c,a,c,c,a,a,b,a,b,b,b,c,b,a,c,c,b,c,a,b,c,b,c,a,c,a,a,b,b,a,c,a,c,a,a,c,b,b,c,c,b,a,a,a,c,c,b,c,c,b,b,a,c,b,a,b,c,a,c,c,a,b,b,b,b,c,a,b
192,c,c,c,a,a,a,a,a,c,b,a,b,c,c,c,c,c,b,b,c,a,c,c,c,c,b,b,a,a,c,a,b,b,c,c,c,b,b,a,c,a,a,b,b,c,a,c,a,c,a,b,a,c,a,c,c,c,c,a,c,a,b,c,a,c,a,b,b,b,c,c,a,b,c,c,c,b,c,c,c,c,c,b,b,a,b,c,a,a,b,a,a,c,b,a,c,c,a,b,c
193,c,c,c,b,a,a,a,c,c,c,c,b,c,b,c,a,a,c,c,a,a,c,c,c,c,c,a,a,c,a,a,b,a,c,b,a,c,c,c,c,c,b,a,c,c,c,b,c,c,b,c,b,a,a,b,c,a,c,a,b,c,a,c,b,c,a,c,c,c,c,a,c,a,a,c,a,c,c,c,c,c,b,a,b,a,a,c,c,b,b,b,b,c,a,c,c,c,c,a,a
194,c,c,a,b,b,c,b,c,c,b,b,a,b,a,a,c,b,a,b,c,c,b,c,c,c,a,c,a,b,a,c,a,a,b,c,b,a,c,c,a,c,c,a,b,c,a,c,c,b,b,b,a,a,c,c,c,a,c,a,c,b,b,b,c,b,c,a,a,a,c,c,c,c,a,a,a,a,b,c,c,b,a,c,c,b,a,c,b,a,c,b,b,c,c,c,c,b,a,a,c
195,a,a,b,c,c,c,a,c,b,b,b,a,a,a,c,a,b,c,a,c,a,b,c,c,b,a,c,c,b,c,c,b,a,c,b,c,a,a,a,b,c,c,c,c,c,c,c,c,a,c,c,c,c,b,c,a,c,c,b,c,a,c,c,c,c,c,c,c,c,c,a,b,c,b,b,c,a,b,c,c,c,b,c,c,a,c,a,c,c,c,c,a,c,c,c,c,c,a,c,a
197,c,c,a,c,b,b,a,a,c,c,b,c,a,c,c,b,b,c,c,b,b,a,c,c,a,b,a,c,c,a,a,a,a,b,b,c,c,a,c,c,b,a,c,c,c,c,c,b,b,c,b,a,c,a,b,a,b,b,c,b,a,b,a,a,a,c,a,a,c,c,b,a,a,c,b,b,a,a,c,a,b,c,a,a,b,b,c,a,c,c,c,b,c,a,c,c,c,b,a,c
201,a,a,c,b,c,c,c,b,c,c,c,b,b,c,c,a,c,c,b,c,c,b,a,b,c,a,b,a,c,c,c,a,c,c,c,c,a,a,b,c,c,b,a,c,a,c,c,c,a,c,b,c,a,a,c,a,c,c,c,b,b,a,c,c,c,c,c,a,b,a,b,a,a,b,c,c,b,c,c,c,c,c,a,c,b,c,a,c,c,a,b,b,b,b,a,b,a,b,a,c
204,b,c,c,c,a,a,c,b,a,b,c,c,c,c,a,c,c,c,b,a,c,b,c,c,b,b,c,b,b,c,c,c,c,a,c,c,a,a,b,b,c,c,c,a,c,c,a,c,c,c,a,b,c,a,c,c,b,a,c,a,b,c,a,c,b,b,c,c,b,b,b,b,c,a,c,a,a,b,a,c,b,a,a,a,c,b,c,c,a,c,a,c,c,c,c,b,a,c,c,a
206,a,c,c,c,c,b,b,c,c,b,c,a,c,b,a,c,c,c,a,c,a,c,b,b,b,a,c,c,c,b,a,c,a,c,c,a,a,c,a,c,c,c,b,c,c,a,b,c,c,a,b,c,c,c,c,b,c,a,c,c,a,a,c,c,b,c,c,a,a,c,b,c,b,c,a,c,c,b,a,c,c,b,c,c,a,c,b,a,c,b,c,c,a,c,c,c,b,b,c,c
207,b,c,c,c,c,b,c,a,b,a,b,a,c,c,a,a,a,a,a,c,a,a,c,b,c,c,a,a,b,a,a,a,c,b,c,c,a,c,a,a,a,b,b,b,b,c,c,b,c,b,b,a,b,c,c,b,c,a,a,c,c,c,b,b,c,a,c,c,c,a,a,a,c,c,a,b,c,c,c,a,c,c,a,c,b,b,b,a,c,a,c,c,c,b,b,c,a,c,c,c
209,c,c,c,c,a,b,c,a,a,a,c,c,b,a,c,c,c,c,c,c,c,a,a,a,b,c,c,b,c,b,c,c,b,b,a,c,c,b,c,b,b,c,a,c,b,a,a,b,c,c,a,c,c,c,b,c,c,c,c,c,c,a,a,a,c,c,c,c,c,a,a,c,b,b,a,a,c,a,a,a,c,a,c,c,b,a,c,c,a,c,c,c,c,b,b,c,c,c,c,b
211,c,c,c,a,c,c,c,a,a,c,b,c,c,c,c,c,c,c,c,c,c,b,c,c,c,a,a,b,b,c,c,a,c,c,c,a,a,c,c,c,c,c,b,c,a,c,b,c,c,c,a,a,b,c,c,c,b,a,b,a,c,c,c,a,c,c,c,c,c,a,a,c,c,c,b,c,c,b,c,a,c,c,c,c,c,c,c,c,a,c,a,c,c,c,a,c,b,c,a,a
220,b,c,c,c,a,c,a,c,c,b,c,a,c,a,c,c,c,c,b,b,c,c,c,a,c,c,a,a,c,a,a,c,a,a,b,c,a,a,b,b,c,a,a,b,b,a,c,c,a,c,c,a,b,c,b,a,c,a,c,a,b,a,a,a,b,c,b,b,b,c,c,b,c,b,c,b,a,a,b,b,a,c,c,c,a,a,c,c,c,c,c,c,c,c,a,c,c,c,b,b
221,a,b,c,b,b,a,c,b,c,b,a,a,c,a,b,b,c,c,b,c,a,b,a,a,c,b,a,b,a,b,a,b,a,b,b,b,b,c,a,a,c,b,c,c,a,c,b,c,b,a,c,b,a,c,b,c,b,b,b,b,b,c,b,b,a,c,b,c,a,a,c,c,c,b,b,c,b,c,b,a,c,c,c,c,a,c,c,b,c,c,b,c,b,c,c,c,c,a,a,a
222,b,a,b,b,b,b,a,c,c,b,c,a,c,b,c,b,b,a,a,a,c,b,c,c,c,a,a,a,c,c,a,c,a,c,c,a,a,a,c,a,c,c,b,a,a,c,a,a,b,c,c,c,a,a,c,b,c,b,a,c,c,b,b,a,c,a,c,c,a,a,b,c,c,c,c,c,b,b,a,a,a,c,b,b,b,b,c,b,c,c,b,c,c,b,c,c,c,a,c,b
225,a,c,c,b,c,c,c,b,c,c,c,a,a,c,a,c,c,a,c,c,a,c,c,b,b,c,c,a,a,b,c,b,b,a,c,b,b,a,c,c,c,c,c,c,a,c,c,b,c,c,c,b,c,b,c,c,c,c,b,a,c,c,c,c,a,c,c,c,c,a,c,c,a,c,a,a,a,b,c,c,a,c,b,c,a,c,b,c,c,b,a,c,c,a,b,c,c,a,a,a
229,c,b,a,a,b,c,b,a,c,b,c,c,c,c,c,b,c,c,c,a,c,c,b,a,a,b,b,a,c,c,b,b,c,a,c,c,a,c,c,a,b,a,c,a,c,c,b,a,c,a,c,a,c,c,b,b,a,c,c,c,c,b,c,b,c,a,b,b,c,c,c,c,b,a,c,a,c,c,c,c,b,a,a,a,c,a,c,a,c,b,b,c,c,a,c,a,c,c,a,c
232,c,a,a,a,b,a,b,a,b,a,c,c,c,b,a,c,c,a,a,a,b,c,c,c,c,c,c,c,b,a,a,b,c,c,c,a,a,c,c,c,b,a,c,a,a,b,b,c,c,c,b,b,b,c,c,c,a,a,b,b,c,a,c,c,c,a,b,a,c,a,b,c,c,c,c,a,a,c,a,c,b,c,a,c,b,c,c,a,c,c,a,c,c,c,c,a,c,c,c,a
239,a,c,b,b,c,c,a,c,a,c,a,b,a,c,c,c,c,c,b,c,c,c,c,c,c,c,a,c,c,a,c,a,a,c,b,c,c,b,b,c,a,a,b,c,a,a,b,a,c,a,c,a,c,b,c,c,c,c,c,b,c,c,a,b,c,c,c,a,a,c,a,c,c,a,c,c,c,a,c,c,a,c,c,b,a,b,a,c,c,c,c,c,c,a,b,a,c,c,c,c
