"uID","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","rec21","rec22","rec23","rec24","rec25","rec26","rec27","rec28","rec29","rec30","rec31","rec32","rec33","rec34","rec35","rec36","rec37","rec38","rec39","rec40","rec41","rec42","rec43","rec44","rec45","rec46","rec47","rec48","rec49","rec50","rec51","rec52","rec53","rec54","rec55","rec56","rec57","rec58","rec59","rec60","rec61","rec62","rec63","rec64","rec65","rec66","rec67","rec68","rec69","rec70","rec71","rec72","rec73","rec74","rec75","rec76","rec77","rec78","rec79","rec80","rec81","rec82","rec83","rec84","rec85","rec86","rec87","rec88","rec89","rec90","rec91","rec92","rec93","rec94","rec95","rec96","rec97","rec98","rec99","rec100"
"239","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","c","b","b","b","a","b","b","b","b","b","b","b","c","c","b","c","c","b","c","b","b","c","b","c","c","c","c","b","c","c","b","c","c","c","c","b","c","c","c","c","c","c","c","c","b","c","b","c","c","c","b","c","c","c","c","b","c","b","c","b","c","b","b","b","b","b","c","b","a","b","c","a"
"241","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","b","a","b","c","b","b","c","c"
"243","c","a","a","a","a","a","a","b","b","a","a","a","a","b","b","b","a","b","b","b","b","a","b","a","a","a","b","a","a","b","a","a","a","b","a","a","a","a","c","b","a","b","a","a","b","a","a","a","b","a","a","a","a","b","a","a","c","a","a","a","b","a","a","a","a","a","a","a","a","a","a","b","a","a","a","b","a","a","a","c","c","b","a","a","b","a","a","b","b","c","a","a","c","c","a","a","b","a","c","a"
"246","a","a","a","a","a","a","a","c","a","a","a","a","a","c","b","a","a","a","b","b","a","b","b","a","a","b","b","b","a","b","b","b","b","b","c","c","a","b","c","c","c","b","b","b","b","c","b","a","c","c","c","c","b","b","b","c","c","a","c","c","c","c","b","a","b","c","b","c","b","b","c","a","c","c","c","a","c","c","c","c","c","c","a","c","c","c","c","b","b","c","c","b","b","b","c","b","a","b","b","a"
"256","b","b","a","a","a","b","c","a","a","a","b","b","c","b","b","a","c","c","b","c","a","b","b","c","c","a","a","c","a","b","c","c","c","c","a","a","c","c","c","b","b","a","b","a","b","b","c","a","a","b","a","c","b","b","b","a","b","c","a","a","b","a","a","b","a","a","b","b","b","a","a","a","a","a","a","c","a","c","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"257","a","a","b","a","a","b","b","a","a","a","b","b","c","b","a","a","b","b","b","a","b","b","b","a","a","b","b","a","a","b","a","a","b","a","a","b","b","a","a","b","c","b","a","a","b","b","a","c","a","a","a","a","b","a","a","a","a","b","a","a","a","a","a","b","b","b","a","a","b","b","b","a","a","c","a","a","c","b","a","a","c","a","c","b","b","b","a","a","c","a","a","a","b","a","a","a","a","c","a","a"
"267","a","a","a","a","a","a","b","a","a","b","a","b","a","a","a","b","b","b","b","b","a","c","a","c","a","a","a","b","b","c","a","c","b","a","a","b","c","a","a","a","c","b","c","c","a","a","a","c","c","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","b","c","b","a","b","b","b","b","a","a","b","b","a","a","c","a","a","b","a","b","a","b","a","a","a","a","a","a","a","b","a","a","a","a","a","a"
"274","a","a","a","c","a","a","a","c","a","a","a","a","a","c","a","a","a","b","a","a","a","a","c","a","a","a","a","b","c","a","a","a","a","b","a","b","b","a","b","a","b","c","a","a","a","a","a","b","b","a","a","a","a","a","a","b","a","b","a","b","b","a","b","b","b","b","a","a","a","b","a","a","b","a","a","a","b","a","c","a","b","c","c","c","c","a","b","b","c","a","a","a","c","a","a","b","a","b","c","b"
"275","a","a","a","a","c","a","c","b","a","a","b","a","b","b","a","a","b","a","b","b","b","a","b","b","b","b","b","b","c","a","b","a","a","b","c","c","b","a","b","b","c","c","a","c","c","a","c","c","a","c","c","a","c","c","b","b","c","c","a","b","c","b","c","b","c","c","a","b","c","b","a","b","c","b","c","b","a","b","b","c","a","b","c","a","b","a","a","a","b","b","b","a","a","b","a","a","a","b","a","a"
"276","a","a","a","a","c","a","b","a","b","a","a","a","a","a","a","b","a","b","b","a","b","b","a","a","a","b","a","a","b","b","b","b","c","b","a","a","a","c","a","a","b","a","a","a","a","a","b","a","a","b","c","a","a","a","a","a","a","b","a","b","b","a","a","c","b","a","a","a","a","a","a","a","a","a","a","c","a","c","a","a","a","a","b","b","a","c","a","b","a","a","a","b","a","a","a","a","a","a","a","a"
"279","b","a","a","a","a","a","a","a","a","a","b","a","b","a","a","a","c","a","b","a","b","b","a","a","a","b","a","a","a","a","b","a","b","a","a","b","a","b","b","a","b","b","b","a","c","a","b","a","a","a","a","b","b","a","a","b","b","a","c","a","c","b","a","b","a","a","b","a","c","a","a","c","a","a","a","b","b","b","c","b","a","a","a","b","a","c","b","a","c","c","c","a","a","b","a","b","a","a","a","b"
"283","b","a","a","a","c","a","b","a","b","a","a","a","a","a","c","a","a","a","a","a","a","b","a","b","a","a","c","b","a","c","b","c","a","a","a","b","a","a","a","b","a","c","b","a","b","a","b","a","a","b","a","b","c","a","b","b","a","b","a","b","b","b","c","a","b","a","a","a","a","a","a","a","b","a","a","b","b","b","b","a","b","b","b","b","a","c","b","c","b","a","b","b","a","a","c","c","b","a","b","c"
"285","a","a","a","b","a","a","a","a","b","a","a","b","a","a","a","a","c","b","b","a","a","a","a","a","a","c","c","a","a","a","a","a","a","c","b","c","b","b","a","a","b","a","a","a","a","a","a","b","a","a","a","a","b","c","a","c","b","c","b","a","a","b","c","a","a","c","b","a","b","c","b","b","c","c","c","a","b","c","a","a","a","a","b","a","a","a","b","b","a","c","b","c","c","a","c","a","c","c","c","c"
"286","a","a","a","a","a","b","b","a","a","b","a","b","b","a","b","a","a","a","c","a","b","a","a","a","b","b","a","a","c","a","a","a","b","a","a","a","a","a","a","b","b","a","b","a","a","c","a","a","b","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","a","a","b","a","a","a","a","c","a","b","a","a","b","a","a","b","a","a","a","a","b","a","a","c","a","a","a","a","a"
"290","c","a","a","a","c","a","a","c","a","a","a","b","a","a","b","a","a","a","a","a","a","a","b","b","b","a","c","c","a","a","a","c","c","c","c","a","b","a","c","b","a","c","b","a","a","a","a","a","b","a","b","b","a","b","b","a","c","c","b","b","a","b","a","b","b","b","b","a","c","b","a","a","b","b","b","a","b","b","b","b","b","b","b","b","a","b","b","a","a","a","b","b","b","a","b","c","b","b","a","a"
"291","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","b","a","b","b","b","b","c","b","b","b","b","a","b","b","a","b","a"
"292","a","a","a","a","a","a","a","a","a","a","a","c","a","b","a","a","b","a","a","b","b","b","b","a","a","b","b","a","a","a","a","a","b","b","b","a","b","b","c","a","c","b","a","a","b","b","b","c","c","c","a","c","b","a","a","c","a","a","b","b","a","b","b","a","b","a","a","b","c","c","b","b","a","c","a","a","b","a","a","b","c","b","b","c","c","b","c","c","b","c","b","b","a","c","b","c","b","b","b","a"
"302","a","b","a","b","a","a","b","a","a","c","a","c","c","b","b","c","a","a","c","a","a","a","a","b","a","b","b","a","b","a","b","a","a","a","b","b","b","b","b","a","b","a","a","a","a","a","a","b","b","a","a","b","a","b","b","b","b","b","b","b","a","b","c","b","c","a","c","c","a","a","b","b","b","b","a","a","a","a","a","a","a","b","a","a","a","a","a","b","a","a","a","a","b","b","a","a","a","a","a","a"
"305","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","a","b","a","a","a","a","a","c","a","b","b","a","b","b","c","a","b","b","c","b","b","a","a","a","b","b","a","a","b","b","b","b","b","b","b","b","b","b","c","a","b","a","b","b","a","a","b","b","a","a","a","a","a","a","b","b","c","c","b","c","a","c","a","b","c","a","a","a","a","a","b","b","a","a","a","a","a","c","b","a","a"
"307","a","a","a","a","a","a","a","a","a","a","a","a","a","c","a","a","a","a","c","a","a","a","c","a","a","a","a","a","a","b","c","a","b","b","a","b","a","a","a","b","a","a","b","b","a","b","b","b","a","c","a","c","b","a","a","a","a","a","b","b","b","b","b","b","a","a","b","a","a","a","b","b","a","b","a","a","b","b","a","a","b","b","b","c","c","b","b","b","a","a","a","a","b","a","a","b","a","a","a","a"
"309","a","b","a","a","a","a","b","a","a","a","a","a","a","a","b","a","b","a","a","a","a","a","b","b","a","a","a","a","a","a","a","b","a","a","a","c","a","a","a","a","a","a","b","a","a","b","a","a","a","b","a","b","b","a","a","a","c","b","a","a","c","a","a","b","a","a","b","a","a","a","b","b","a","b","a","a","a","a","a","c","a","a","b","a","c","b","c","a","a","c","b","a","b","a","b","b","a","b","b","a"
"310","a","b","b","a","a","a","a","b","a","a","a","c","a","a","a","a","b","a","a","a","b","a","c","a","a","b","a","b","b","a","b","b","a","a","a","a","a","c","b","b","a","a","b","a","b","b","a","b","b","a","a","b","a","a","a","b","a","a","a","b","b","b","c","a","b","a","a","b","a","a","a","a","b","b","c","b","a","a","a","b","b","a","a","a","c","b","c","b","b","a","c","a","a","b","a","a","a","a","b","a"
"312","b","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","c","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","b","a","a","a","a","b","b","a","a","b","c","a","b","a","a","a","c","a","a","b","a","b"
"313","b","b","a","a","a","b","b","a","b","c","a","a","a","a","c","a","a","a","b","a","a","b","a","a","a","c","b","a","a","a","a","b","a","b","a","a","a","a","b","b","a","b","a","b","a","a","b","a","b","a","a","a","b","a","a","a","a","a","b","a","a","b","a","a","b","b","b","a","a","a","b","a","b","b","a","a","a","b","c","a","a","c","b","b","a","b","a","a","a","a","a","a","b","a","b","b","a","b","b","a"
"315","a","b","b","a","a","b","c","b","c","b","c","a","b","b","b","c","b","c","b","b","b","a","b","a","b","b","a","a","b","b","a","a","b","a","c","c","a","c","c","b","c","c","a","c","b","c","c","b","c","a","a","c","b","c","a","a","c","a","c","c","c","c","b","c","a","c","b","c","a","a","a","c","a","c","b","b","c","a","b","b","c","b","b","a","b","b","a","b","c","c","a","a","b","b","a","b","b","a","a","c"
"320","a","a","c","a","a","a","a","b","a","a","a","c","a","b","c","b","a","b","a","a","a","a","c","a","a","b","c","b","b","c","a","b","c","a","c","a","c","b","b","b","a","a","c","b","b","b","b","b","a","b","c","b","a","b","b","a","b","b","b","c","b","a","c","a","b","b","c","a","b","c","b","a","c","c","a","b","c","c","b","c","b","a","b","b","c","c","a","a","c","a","b","b","b","a","b","b","b","a","c","b"
"321","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","b","a","a","a","a","a","b","a","a","a","a","b","a","a","a","a","a","b","a","a","b","a","a","b","a","a","a","b","b","b","b","a","a","b","b","a","a","a","a","c","a","b","c","a","a","a","a","c"
"324","c","a","a","a","b","b","b","a","b","b","a","a","b","c","c","b","c","b","a","c","b","a","c","c","b","a","c","c","c","c","c","c","c","a","a","c","a","a","b","b","c","a","a","a","c","b","a","c","c","c","a","a","c","c","a","a","a","a","a","c","c","a","a","c","c","a","b","c","a","c","a","c","c","a","a","a","a","a","c","c","c","b","c","c","b","c","b","a","b","a","b","b","a","a","b","a","b","b","a","a"
"326","c","c","a","a","a","a","a","b","a","a","b","b","b","b","b","a","c","a","b","b","b","a","a","b","b","a","a","a","a","a","b","c","a","a","a","b","a","c","b","a","c","a","b","c","a","a","b","a","a","b","b","b","a","a","c","a","a","a","a","a","b","a","a","a","a","b","a","c","b","a","a","a","b","a","a","b","c","a","a","b","b","a","a","c","b","c","b","b","b","c","c","a","a","a","a","a","b","a","b","c"
"327","a","c","a","a","b","c","a","a","a","a","a","b","a","a","c","a","a","c","b","b","c","a","b","a","a","a","b","b","a","a","a","b","c","c","b","a","a","c","c","a","c","b","b","a","a","a","a","c","b","b","b","b","b","b","a","b","a","c","a","c","a","c","c","b","b","c","b","c","c","a","b","c","b","a","a","a","c","a","b","a","c","c","b","b","a","c","b","a","b","c","c","b","b","c","b","a","a","b","a","a"
"331","b","b","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","b","b","a","a","b","c","a","a","a","a","b","b","a","a","a","a","a","a","a","b","a","a","b","a","a","a","a","a","a","b","b","b","a","a","a","a","b","a","a","a","b","a","a","a","a","a","b","b","b","a","c","b","a","a","a","a","a","a","a","b","a","a","a","a","a","a","b","a","a","a","a","a","a","b","a","a","c","b","b","b","c"
"333","a","a","a","a","a","b","a","a","a","b","a","a","a","a","b","a","a","c","a","a","a","a","a","a","b","a","a","a","a","b","a","b","a","b","b","a","a","b","a","a","b","a","a","a","a","c","a","a","b","a","a","b","a","c","b","a","a","a","c","b","b","c","c","c","c","a","a","a","b","a","c","c","a","a","c","b","a","a","b","a","b","b","b","c","c","c","c","a","a","b","a","a","a","b","a","b","b","a","b","c"
"334","a","c","a","a","a","a","a","a","a","b","a","a","a","c","a","a","a","b","a","a","a","a","b","a","b","b","a","a","b","c","b","b","c","b","c","a","a","a","b","a","b","b","a","a","b","a","b","c","c","c","b","a","a","a","c","b","b","b","b","a","c","b","a","a","c","b","b","a","c","b","c","b","b","c","c","b","b","b","b","b","a","c","c","a","a","b","b","a","a","a","a","c","a","a","c","a","b","b","a","b"
"335","a","b","b","a","a","a","a","b","b","a","a","b","b","a","a","b","a","b","a","b","a","c","b","b","b","b","a","c","c","a","b","a","b","a","a","a","b","a","a","a","c","b","a","a","a","b","c","b","a","a","b","a","b","b","b","b","b","a","a","b","a","a","a","b","a","b","c","b","b","a","a","a","a","b","a","a","a","a","a","a","a","a","a","b","c","b","a","b","b","a","b","a","b","c","a","a","a","c","a","b"
"337","a","c","c","b","b","b","a","b","b","b","b","b","b","a","a","c","c","c","a","b","a","c","c","c","a","c","c","c","c","a","a","a","c","b","c","c","c","a","c","a","c","c","c","a","b","a","a","a","b","a","a","b","c","b","b","a","c","a","b","c","b","a","a","b","a","b","c","b","b","b","a","a","b","a","a","b","c","b","b","b","b","b","a","a","a","b","b","b","a","a","a","a","b","c","a","b","a","c","a","a"
"344","a","a","a","a","a","a","c","a","a","b","a","a","a","a","a","a","a","c","a","c","a","a","c","a","c","a","a","a","a","a","a","a","b","a","a","a","a","c","a","a","a","a","a","b","b","c","a","c","b","b","b","b","a","c","a","b","b","b","b","b","b","b","b","a","b","c","b","c","b","b","b","b","b","c","b","c","c","b","b","c","b","b","a","a","a","b","c","b","b","c","c","a","c","c","c","c","c","c","b","b"
"358","a","a","c","a","a","a","a","b","a","b","b","b","b","b","b","a","b","a","b","a","a","b","a","b","b","b","a","a","b","c","a","a","b","a","c","b","a","b","a","b","a","b","a","a","a","c","a","b","b","c","b","a","a","a","a","a","a","b","a","c","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","a","c","a","a","a","a","c","a","a","a","a","a","a"
"359","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","a","b","b","a","a","c","b","a","a","a","a","b","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","b","b","a","a","a","b","b","a","a","a","a","a","a","a","a","c","a","a"
"360","a","a","a","a","a","a","a","a","a","a","c","b","a","a","a","b","a","a","a","b","c","b","b","a","b","a","b","b","c","b","a","a","b","b","b","a","a","a","b","c","a","a","a","b","a","a","b","b","c","a","b","a","b","a","a","c","b","a","b","a","b","b","b","a","c","a","b","b","c","b","b","b","a","a","b","a","b","a","b","a","a","a","a","a","c","a","c","b","a","a","a","a","a","a","b","a","a","a","a","a"
"365","c","a","a","a","a","b","a","a","a","a","a","a","a","b","a","c","a","a","a","b","a","b","b","a","a","a","a","b","a","c","a","a","a","a","a","b","a","a","a","a","a","c","a","a","a","a","b","a","a","b","c","a","a","b","b","b","a","b","a","c","c","a","c","b","a","b","a","a","a","c","b","c","a","a","a","c","b","a","b","a","b","b","b","c","a","b","c","a","a","a","a","a","a","a","a","a","b","a","a","a"
"366","b","a","b","a","a","c","b","a","b","c","a","b","a","c","b","a","a","a","a","a","c","a","b","a","b","a","a","a","a","c","a","a","a","a","a","a","a","a","b","a","a","b","c","b","b","a","b","a","a","b","b","a","b","c","b","a","b","a","b","a","a","a","c","a","b","c","b","a","a","c","c","b","a","c","b","a","a","b","a","a","a","b","a","b","b","b","b","a","a","c","b","a","a","a","a","a","b","b","a","a"
"372","a","c","a","a","b","b","a","b","b","b","b","a","a","a","b","b","a","c","b","a","b","a","a","b","c","c","a","a","b","c","a","b","c","a","a","c","a","a","a","a","b","c","c","a","b","b","a","b","c","a","a","b","c","b","b","a","a","b","a","a","c","b","a","a","c","b","a","c","c","a","c","a","b","b","a","b","a","c","a","b","a","b","b","b","c","a","a","a","b","b","b","b","b","b","a","c","b","a","c","a"
"374","a","a","b","a","b","a","b","a","c","b","a","c","a","b","b","b","c","a","c","c","a","b","a","a","a","b","c","a","c","b","b","a","c","c","b","a","a","c","a","c","a","a","c","b","c","a","c","b","c","a","c","b","b","b","c","a","c","c","a","b","a","b","b","c","b","b","c","b","b","c","c","c","a","c","b","c","b","c","c","b","b","a","b","b","c","a","a","c","b","c","b","a","c","a","a","c","b","b","a","c"
"376","b","b","a","c","a","a","b","a","a","a","a","a","c","a","a","a","a","a","a","a","c","a","a","b","a","b","b","b","b","b","c","a","c","c","a","c","a","a","a","b","b","b","b","a","a","a","a","a","a","b","a","b","a","a","b","a","a","c","b","b","a","c","c","a","a","a","b","a","a","a","a","b","b","a","b","b","a","a","a","a","b","b","a","b","b","a","a","c","b","a","b","a","b","a","a","b","b","a","c","a"
"377","b","a","a","a","a","a","c","a","a","a","b","b","a","b","a","c","a","a","a","a","a","a","a","b","b","a","b","a","a","c","a","a","b","a","b","a","a","a","b","a","a","b","a","b","a","b","a","a","a","a","a","c","c","a","b","a","a","c","b","a","a","b","b","a","a","a","b","a","a","a","a","a","a","a","a","b","a","a","a","b","a","a","a","a","a","a","c","a","a","a","c","b","b","b","b","b","a","a","a","a"
"378","a","a","a","a","a","a","a","a","a","b","c","a","a","c","a","a","a","b","a","b","a","b","b","b","a","c","b","c","b","c","a","c","c","c","a","a","c","c","b","a","a","a","b","a","c","c","b","b","c","b","c","b","c","c","b","c","a","c","b","b","a","b","b","b","b","b","b","b","c","b","b","b","a","a","b","a","b","b","a","b","a","a","b","a","a","b","a","a","a","a","a","b","b","a","a","c","a","a","c","a"
"380","b","b","a","a","b","a","a","a","a","b","a","c","a","b","a","b","b","c","b","a","b","a","b","a","a","a","a","a","b","a","c","a","b","b","b","b","c","a","b","a","b","b","a","b","c","a","a","a","b","b","b","c","b","a","a","a","b","b","b","a","b","a","a","b","a","a","a","b","b","c","a","a","a","b","a","a","a","b","c","c","a","c","a","a","a","a","b","a","c","b","b","c","a","a","b","a","b","a","b","b"
"382","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","c","a","a","b","a","a","a","a","a","a","a","a","a","b","b","a","a","a","b","b","b","b","b","b","a","b","b","b","b","b","b","a","b","b","b","b","c","a","a","c","a","c","b","b","c","c","c","c","b","c","c","a","b","c","b","c","b","c","c","c","c","a","b","c","b","b","c","c","c","c","c","c","b","b","a","a","c","b","c","a","b","b","b","a","a"
"387","a","a","a","b","a","c","b","a","a","b","a","a","b","b","b","a","b","a","b","b","a","b","a","c","a","b","b","b","c","b","a","b","a","b","a","b","b","a","a","a","b","b","b","a","a","b","b","a","a","a","a","c","a","a","a","a","b","a","a","a","a","b","c","a","a","b","b","a","c","a","a","b","a","a","b","a","a","a","a","a","a","a","b","b","b","c","a","c","c","c","a","a","b","c","c","c","b","a","c","b"
"391","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","b","a","a","b","c","b","a","a","b","a","a","c","b","a","a","a","b","a","a","b","a","c","c","a","b","a","a","a","a","b","a","a","a","b","a","a","a","b","c","a","a","a","b","a","a","b","c","a","c","b","a","a","a","a","b","c","a","b","a","a","b","c","b","a","c","b","b","a","a","b","b","b","c","a","a","c","c","b","a","a","c"
"392","c","a","a","c","a","a","a","c","c","c","c","c","b","c","a","c","b","b","c","b","a","b","a","c","c","c","c","b","c","a","a","b","b","a","c","c","c","c","a","c","a","c","c","c","c","c","c","a","c","a","a","a","c","b","c","c","b","c","b","a","c","c","b","c","b","b","c","b","c","b","a","b","c","b","c","c","c","b","c","b","c","b","b","b","b","b","a","c","a","a","a","b","c","a","b","a","a","b","a","a"
"394","b","a","a","c","b","b","b","a","b","a","b","b","a","c","a","b","b","b","a","c","a","a","b","c","b","a","a","c","a","a","a","b","a","a","a","b","b","a","a","a","b","a","b","a","c","a","a","a","a","c","c","a","a","b","b","a","b","a","b","c","b","b","b","a","b","a","b","c","c","a","b","b","a","a","a","c","b","a","a","a","a","b","a","b","a","a","a","b","b","b","b","c","b","b","a","a","b","a","b","a"
"395","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","a","b","a","b","a","b","b","a","a","a","a","c","b","b","a","a","b","a","a","b","c","a","a","b","b","b","b","b","b","a","b","b","c","b","b","b","a","a","b","a","b","c","a","c","a","c","b","b","b","c","b","a","a","b","c","b","a","b","b","b","b","b","c","b","a","b","a","b","b","b","b","b","a","a","b","b","c"
"403","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","b","b","a","a","c","b","a","a","a","a","a","b","b","a","c","a","a","b","a","a","a","a","b","a","a","b","a","b","a","a","a","b","a","c","b","b","c","b","a","b","b","c","c","a","c","a"
"404","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","c","a","b","a","a","a"
"406","b","b","a","a","a","a","c","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","c","a","a","c","a","b","a","a","b","b","b","b","b","b","b","b","b","b","b","b","b","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","c","b","b","b","b","b","b","b","c","c","c","c","c","c","c","c","a","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","a","a","c","c","c","c","b","b"
"413","a","a","a","b","c","a","b","a","b","a","a","a","a","b","b","b","b","a","b","a","b","b","b","a","c","a","b","c","b","b","a","a","a","b","b","a","a","a","c","a","a","a","a","a","a","c","b","a","c","a","b","a","c","a","b","a","b","b","a","a","a","b","b","c","c","b","a","c","b","b","a","b","c","c","a","b","b","a","b","a","b","b","b","b","b","a","c","a","b","b","a","c","a","a","c","b","a","c","b","a"
"422","a","a","a","a","b","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","b","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","b","a","a","a","c","a","a","b","c","b","a","a","c","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","a","a","a","b","a","a","b","c","a","a","c","a","a","a","b","b","b","a","a","a","a","b"
"427","c","c","a","a","c","b","a","b","c","a","b","b","a","b","a","b","c","b","a","c","a","c","b","a","a","b","b","c","a","a","a","a","c","b","a","a","b","a","c","c","a","a","b","a","b","a","c","c","c","b","b","b","b","c","a","c","c","a","c","a","b","c","c","c","c","c","c","c","c","c","a","c","b","c","c","b","c","a","b","c","c","b","b","a","b","a","b","b","c","b","b","b","b","a","b","c","a","a","a","a"
"432","a","c","c","a","a","a","c","c","a","b","a","b","c","b","b","b","a","a","b","b","a","a","a","b","b","a","a","b","b","b","a","a","b","b","a","a","b","b","b","b","a","b","c","a","b","b","a","a","a","c","b","b","a","a","a","b","c","c","c","a","c","a","a","b","b","b","a","c","a","a","c","a","a","a","a","a","a","a","a","a","c","c","a","c","c","b","a","a","a","c","a","b","a","a","a","b","c","b","b","c"
"434","a","a","c","a","c","c","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","c","a","a","a","a","a","a","c","a","c","b","a","a","c","b","b","a","a","a","a","a","a","b","a","a","a","a","c","b","c","b","c","b","b","b","b","a","b","b","a","b","a","a","c","b","b","a","b","b","c","c","c","a","b","b","a","b","b","b","a","b","c","c","c","b","a","b","b","b","c","b","c","c","b","c","b"
"437","a","a","b","a","a","a","b","a","b","a","a","a","b","a","a","b","a","a","a","a","a","b","a","a","a","a","b","a","a","b","a","b","a","a","b","b","a","a","a","b","b","b","b","a","b","b","a","a","a","a","a","b","b","b","a","a","a","a","a","a","a","a","b","b","c","b","b","b","a","a","a","b","b","b","a","a","b","a","a","a","c","a","a","a","c","b","c","c","c","b","c","b","c","a","c","a","b","b","b","c"
"446","b","a","a","c","a","a","c","a","a","a","a","a","c","c","a","c","a","a","a","b","a","b","c","a","b","a","a","c","a","a","a","b","c","a","c","c","a","b","a","c","b","b","b","a","b","b","a","b","a","c","b","b","c","c","c","c","c","c","b","b","c","b","b","a","b","c","b","c","b","b","c","a","c","b","b","c","c","b","c","b","c","c","c","c","b","b","c","c","c","c","c","b","c","c","c","c","a","b","a","a"
"448","b","a","a","a","a","b","b","a","a","a","a","c","a","a","a","c","b","a","a","a","c","c","b","a","a","b","a","a","c","a","a","b","a","b","a","b","b","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","b","a","a","a","b","a","b","b","b","b","a","a","a","c","b","b","a","a","b","b","a","c","a","b","b","a","b","b","b","c","b","a","b","b","a","b","a","a","a","a","c","b","c","a","c","a","c","a"
"449","a","a","a","a","a","a","b","a","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","b","a","a","b","b","a","a","a","b","a","a","a","a","a","b","b","a","a","b","b","a","b","b","a","a","c","a","c","a","a","a","a","a"
"450","b","a","b","a","b","a","a","a","b","b","a","a","b","a","a","a","a","a","a","c","a","a","b","a","a","b","a","a","c","a","a","a","a","c","b","c","a","a","b","a","a","c","b","c","b","c","a","b","b","a","a","b","b","a","a","b","b","b","c","b","b","a","c","a","a","a","c","b","c","c","a","c","a","c","b","c","a","a","a","b","c","b","a","a","b","b","a","b","b","c","b","b","b","b","c","b","b","a","a","a"
